Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);IPI 410 (S1);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MOW 217 (S1);MPR 213 (S1);MSD 210 (S1);MTV 310 (S1);MTX 221 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (S2);SWK 210 (S1);WTW 158 (S1);WTW 161 (S2);WTW 168 (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (S1);WTW 263 (S2);Target
11016389;50.0;61.0;53.0;NA;NA;NA;54.0;NA;51.0;NA;52.0;NA;79.0;58.0;51.0;69.0;71.0;51.0;54.0;67.0;61.0;75.0;NA;NA;57.0;NA;NA;NA;NA;NA;NA;NA;64.0;55.0;63.0;63.0;50.0;57.0;60.0;62.0;69.0;Graduated_2
11016702;56.0;NA;50.0;NA;NA;NA;50.0;NA;NA;NA;50.0;63.0;80.0;63.0;58.0;60.0;66.0;62.0;64.0;66.0;58.0;NA;NA;NA;74.0;NA;NA;NA;51.0;NA;NA;NA;52.0;55.0;52.0;66.0;50.0;75.0;53.0;50.0;46.0;Graduated_2
11017920;74.0;60.0;NA;66.0;NA;81.0;69.0;NA;91.0;75.0;NA;50.0;95.0;NA;NA;NA;NA;NA;NA;NA;86.0;72.0;68.0;79.0;93.0;67.0;73.0;86.0;NA;57.0;77.0;60.0;72.0;NA;85.0;80.0;75.0;68.0;70.0;70.0;81.0;Graduated_0
11018039;54.0;50.0;NA;55.0;NA;82.0;51.0;NA;68.0;54.0;NA;79.0;82.0;NA;NA;NA;NA;NA;NA;NA;50.0;76.0;74.0;51.0;61.0;58.0;74.0;58.0;NA;54.0;71.0;78.0;50.0;NA;62.0;70.0;46.0;61.0;50.0;53.0;50.0;Graduated_0
11018195;66.0;61.0;NA;54.0;NA;NA;53.0;NA;51.0;51.0;NA;77.0;85.0;63.0;61.0;66.0;67.0;61.0;67.0;75.0;66.0;67.0;76.0;59.0;56.0;57.0;59.0;63.0;NA;53.0;NA;NA;56.0;NA;55.0;52.0;42.0;72.0;67.0;57.0;50.0;Graduated_1
11018977;50.0;68.0;NA;46.0;NA;77.0;50.0;NA;58.0;52.0;NA;58.0;83.0;NA;NA;NA;NA;NA;NA;NA;75.0;64.0;78.0;67.0;79.0;56.0;50.0;53.0;54.0;NA;59.0;67.0;38.0;NA;52.0;50.0;34.0;50.0;51.0;54.0;50.0;Graduated_1
11019027;70.0;73.0;NA;53.0;NA;61.0;54.0;NA;NA;51.0;NA;62.0;90.0;NA;NA;NA;NA;NA;NA;NA;56.0;77.0;NA;68.0;79.0;63.0;NA;71.0;NA;50.0;79.0;73.0;NA;NA;64.0;72.0;57.0;59.0;66.0;60.0;64.0;Graduated_1
11019132;52.0;36.0;NA;42.0;NA;79.0;58.0;NA;52.0;55.0;NA;58.0;82.0;NA;NA;NA;NA;NA;NA;NA;68.0;66.0;73.0;53.0;85.0;41.0;0.0;36.0;37.0;42.0;61.0;51.0;40.0;NA;55.0;50.0;47.0;40.0;50.0;52.0;50.0;Active (BEng)
11019345;66.0;NA;36.0;NA;NA;85.0;61.0;48.0;NA;NA;61.0;76.0;94.0;NA;NA;NA;NA;NA;NA;NA;77.0;NA;NA;NA;89.0;NA;NA;NA;50.0;NA;77.0;80.0;NA;53.0;50.0;54.0;50.0;50.0;47.0;40.0;52.0;Graduated_1
11019353;60.0;50.0;NA;63.0;NA;79.0;54.0;NA;50.0;64.0;NA;63.0;99.0;NA;NA;NA;NA;NA;NA;NA;75.0;66.0;75.0;62.0;82.0;57.0;52.0;62.0;NA;56.0;70.0;60.0;50.0;NA;67.0;60.0;50.0;52.0;51.0;56.0;65.0;Graduated_0
